keyword,country,date,keyword_search_volume
youtube,WW,2024-10-06,15832869.090134488
nfl,WW,2024-10-06,11277302.884375516
facebook,WW,2024-10-06,10132821.41257181
nfl,US,2024-10-06,8291690.602585364
amazon,WW,2024-10-06,7630847.3354612915
serie a,WW,2024-10-06,7200408.403344597
pornhub,WW,2024-10-06,7189087.201773266
premier league,WW,2024-10-06,6896488.68038147
translate,WW,2024-10-06,6512410.988848752
chatgpt,WW,2024-10-06,6181534.513925324
