domain,country,date,desktop_visits,desktop_pages_per_visit,desktop_bounce_rate,mobile_visits,mobile_pages_per_visit,mobile_bounce_rate,mobile_average_visit_duration,all_traffic_visits,all_traffic_pages_per_visit,all_traffic_average_visit_duration,all_traffic_bounce_rate,desktop_unique_visitors,mobile_unique_visitors,desktop_average_visit_duration,desktop_share,mobile_share,desktop_page_views,mobile_page_views,all_page_views
google.com,WW,6/23/2024,9.78E+08,11.6755641,0.246837753,1.60E+09,6.368331739,0.311987976,392.6832696,2.57E+09,8.385834496,577.5438835,0.28722163,3.48E+08,8.31E+08,878.9766484,0.380142157,0.619857843,1.14E+10,1.02E+10,2.16E+10
youtube.com,WW,6/23/2024,8.37E+08,13.66917593,0.17218289,2.43E+08,6.349326415,0.391681342,583.9223938,1.08E+09,12.02252894,1217.594674,0.221560472,2.58E+08,1.54E+08,1401.518048,0.775043601,0.224956399,1.14E+10,1.54E+09,1.30E+10
google.com,US,6/23/2024,2.58E+08,12.64531724,0.226866388,2.94E+08,6.026528563,0.315741261,408.8483207,5.52E+08,9.114771327,659.8073774,0.274273374,8.67E+07,1.39E+08,946.7091982,0.466587304,0.533412696,3.26E+09,1.77E+09,5.03E+09
mail.google.com,WW,6/23/2024,2.42E+08,7.902435121,0.190327582,1.69E+07,4.082713753,0.293550803,255.476358,2.59E+08,7.653301568,522.3258918,0.197060106,1.12E+08,9031809.68,540.9450032,0.934777035,0.065222965,1.91E+09,6.89E+07,1.98E+09
facebook.com,WW,6/23/2024,2.00E+08,14.39970391,0.226370486,2.95E+08,6.875288171,0.365148086,428.195089,4.96E+08,9.916014587,620.3643592,0.309066029,8.22E+07,1.64E+08,903.7266836,0.404114621,0.595885379,2.88E+09,2.03E+09,4.92E+09
