domain,tech_id,tech_name,date,technology_parent_category,uninstalled_date,installation_date,technology_category,technology_description
wacombd.com,3204,Yoast SEO,2024-10-06,Widget,,2019-03-22,Widget,Wordpress SEO Plugin
vdwoude.eu,1745,Leaflet,2024-10-06,Widget,,2019-09-21,Mapping,An Open-Source JavaScript Library for Mobile-Friendly Interactive Maps.
infoclon.jimdo.com,1972,Google Translate,2024-10-06,Widget,,2016-08-15,Widget,Provides a widget which lets a visitor translate your webpage into a different language.
angel-girls-otaku.blogspot.com.es,1950,General Captcha,2024-10-06,Widget,,2019-02-18,Captcha,Websites using some form of Captcha technology on them.
motorcyclenexus.com,6336,Cookie Law Info For WordPress,2024-10-06,Widget,,2024-03-08,Widget,"Using this WordPress plugin, when users visit the website, they are notified of the cookies being used by the website."
welina220.biz,1739,Google Maps,2024-10-06,Widget,,2020-12-16,Mapping,Websites embedding Google maps.
browperfection.com,3218,Twemoji,2024-10-06,Widget,,2021-06-04,Widget,A simple library that provides standard Unicode emoji support across all platforms.
atacadaojribamar.com.br,6333,Elementor Pro,2024-10-06,Widget,,2024-10-06,Widget,
sctoyo.cn,1743,Baidu Maps,2024-10-06,Widget,,2023-05-25,Mapping,"Baidu Mapss is a mobile web and desktop mapping application created by Baidu. Baidu Maps provides users with location-based information and services, it sorts them by locations, routes, and local merchants on their PCs and mobile devices in both offline and online modes."
bingoquilmes.com,1739,Google Maps,2024-10-06,Widget,2021-12-05,2020-07-01,Mapping,Websites embedding Google maps.
