app,country,yearmonth,apps_sessions_per_user,apps_avg_usage_time_per_session,apps_avg_total_usage_time_per_user,apps_install_penetration,apps_unique_installs,apps_downloads,apps_demographics_age_18_to_24_percentage,apps_demographics_age_25_to_34_percentage,apps_demographics_age_35_to_44_percentage,apps_demographics_age_45_to_54_percentage,apps_demographics_age_55_plus_percentage,apps_demographics_male_percentage,apps_demographics_female_percentage,apps_monthly_active_users_android,apps_monthly_active_users_ios,apps_daily_active_users_ios,apps_daily_active_users_android
com.view.ytrabbit,IN,2024-09,169.78349894567347,61802.86275838532,10523075.875912094,6.2235221489978456e-06,307.4978340720302,246.65975367461945,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1776.236413887281,,,257.20120952029043
com.view.ytrabbit,WW,2024-09,158.94542112522285,60534.99797339568,9740375.1188587,5.372390596138586e-05,1026.9405588953443,345.4181360063,12.06896551724138,51.72413793103448,8.620689655172415,27.58620689655172,0.0,67.24137931034483,32.758620689655174,8491.775626813636,,,961.2552021453714
com.leadinggames.timewarpscan.funnyface.warpfilters.warpimage,PH,2024-09,131.0,20349.4427480916,2665777.0,0.0005221353042175793,,0.0,0.0,100.0,0.0,0.0,0.0,46.51162790697674,53.48837209302325,16316.542631343707,,,3738.4660515432897
com.balajiglobal,IN,2024-09,124.63023768163372,36722.05341047456,4465720.361213617,8.055924251892226e-07,,1.847414348337114,,,,,,,,357.431781602994,,,124.79678301136144
com.balajiglobal,WW,2024-09,124.63023768163372,36722.05341047455,4465720.361213617,2.432658459245884e-07,,1.8474143483371137,,,,,,,,357.431781602994,,,124.79678301136144
com.linkarise.latelecall,IN,2024-09,119.39909010518384,37955.779991054216,4616204.155106156,7.505071753362299e-07,22.23055997166362,60.31997984052779,,,,,,,,269.66761913243363,,,110.63108301770887
com.linkarise.latelecall,WW,2024-09,119.3990901051838,37955.77999105421,4616204.155106156,2.266316777218424e-07,22.23055997166362,60.3199798405278,,,,,,,,269.66761913243363,,,110.63108301770886
com.google.android.apps.nexuslauncher,LC,2024-09,115.5,33151.770562770565,3829029.500000001,0.3042578931251121,,,50.0,1.6666666666666667,48.333333333333336,0.0,0.0,0.0,100.0,,,,
com.collection.sri.lanka.col.lk.app,WW,2024-09,108.78000000000002,100200.8911473953,10758818.304277036,4.6107500919443926e-08,,51.85023270067564,,,,,,,,219.47525156282677,,,84.16520275931934
com.collection.sri.lanka.col.lk.app,LK,2024-09,108.78000000000002,100200.8911473953,10758818.304277036,1.7201417345386382e-05,,51.85023270067564,,,,,,,,219.47525156282677,,,84.16520275931933
