domain,country,site2,yearmonth,desktop_referral_visits,desktop_referral_change,desktop_referral_share,mobile_referral_visits,mobile_referral_change,mobile_referral_share,desktop_outgoing_referral_visits,desktop_outgoing_referral_change,desktop_outgoing_referral_share
search.bilibili.com,WW,bilibili.com,2024-05,267012420.76432005,0.0773008152891132,0.8942881278438023,1246209.3752530897,0.1139512988619074,0.9024724104861146,79820887.8249624,0.085789403495257,0.6300493721561997
search.bilibili.com,CN,bilibili.com,2024-05,238482523.82115725,0.0788726101676367,0.8951296448665347,829719.9847698743,0.0193964891070761,0.9239555229839472,69392197.29090999,0.0871231627430368,0.624663382425593
search.naver.com,WW,naver.com,2024-05,219038013.8257008,-0.009544231890991,0.9772776463573286,44975978.90282913,66.7235139592928,0.4423269232953238,92652.55302583076,-0.1013240122044566,0.3689008202070858
search.naver.com,KR,naver.com,2024-05,214896069.4028455,-0.0079662861225189,0.97800368474871,43901965.56745581,,0.4517201290211085,91251.7110725323,-0.113305178370661,0.3661463361534546
studio.youtube.com,WW,youtube.com,2024-05,188772814.5004701,0.0058042253531288,0.9993355160319736,4515556.019122278,129.71616952093598,0.965847841927834,35119279.6729554,-0.0148337509974793,0.9993245720967168
news.yahoo.co.jp,WW,yahoo.co.jp,2024-05,183513992.38450128,0.0028718961368869,0.9455579933056202,17639528.484783895,62.40192937139433,0.1062726896280404,5759264.091517286,0.0405340449368352,0.0347735481610126
news.yahoo.co.jp,JP,yahoo.co.jp,2024-05,181008478.700683,0.0025414861742403,0.9455647629449196,16022093.554928232,,0.0980164416891792,5659357.747760114,0.0379966075509844,0.0345665673083173
space.bilibili.com,WW,bilibili.com,2024-05,172818569.84026074,0.0531461609532332,0.7306481121854682,635494.7940529115,0.108933923717416,0.7985723172673679,36986440.53874083,0.0675032900003685,0.5716375501672887
e.mail.ru,WW,mail.ru,2024-05,162483009.8063649,0.0033354574346329,0.9235076662300972,2890488.0858596857,-0.0063270725423946,0.8675935886225938,13374212.732991831,-0.0420881008805067,0.157017367477069
space.bilibili.com,CN,bilibili.com,2024-05,156741822.2906461,0.0557787002617232,0.7325536736233689,393669.1747760048,0.0223340764463595,0.8336223398424609,31410616.002893817,0.0716496320725705,0.5609329589549042
