app,country,daysback,yearmonth,apps_retention_android
com.FatcatStudio.TargetHavoc,KW,0,2024-05,1.0
com.adobe.lrmobile,KW,0,2024-05,1.0
com.antivirus.viruscleaner.mobilesecurity,KW,0,2024-05,1.0
com.dubox.drive,KW,0,2024-05,1.0
com.fogg.photovideomaker,KW,0,2024-05,1.0
com.hp.pregnancy.lite,KW,0,2024-05,1.0
com.itg.colorphone.callscreen,KW,0,2024-05,1.0
com.its52.pushnotifications,KW,0,2024-05,1.0
com.kidsworld.learn.music.play,KW,0,2024-05,1.0
com.naukriGulf.app,KW,0,2024-05,1.0
